ticker,company_name,industry,market_cap
BBY,"Best Buy Co., Inc.",Specialty Retail,20.60B
HBAN,Huntington Bancshares Inc.,Banks - Regional,20.59B
RF,Regions Financial Corp.,Banks - Regional,20.27B
HUBB,Hubbell Inc.,Electrical Equipment & Parts,20.23B
CCL,Carnival Corp. & plc,Travel Services,20.21B
TER,"Teradyne, Inc.",Semiconductor Equipment & Materials,20.17B
TDY,Teledyne Technologies Inc.,Scientific & Technical Instruments,20.02B
PTC,PTC Inc.,Software - Application,19.99B
BAX,Baxter International Inc.,Medical Instruments & Supplies,19.89B
BLDR,"Builders FirstSource, Inc.",Building Products & Equipment,19.75B
ESS,"Essex Property Trust, Inc.",REIT - Residential,19.68B
MOH,"Molina Healthcare, Inc.",Healthcare Plans,19.56B
BALL,Ball Corp.,Packaging & Containers,19.52B
OMC,Omnicom Group Inc.,Advertising Agencies,19.48B
WAT,Waters Corp.,Diagnostics & Research,19.39B
MAA,"Mid-America Apartment Communities, Inc.",REIT - Residential,18.97B
HOLX,"Hologic, Inc.",Medical Instruments & Supplies,18.95B
GPC,Genuine Parts Co.,Auto Parts,18.81B
EQT,EQT Corp.,Oil & Gas Exploration & Production,18.81B
LH,Labcorp Holdings Inc.,Diagnostics & Research,18.58B
DRI,"Darden Restaurants, Inc.",Restaurants,18.56B
FOXA,Fox Corp.,Entertainment,18.39B
PKG,Packaging Corp. of America,Packaging & Containers,18.27B
PFG,"Principal Financial Group, Inc.",Asset Management,18.26B
SYF,Synchrony Financial,Credit Services,18.20B
CFG,"Citizens Financial Group, Inc.",Banks - Regional,18.13B
CNP,"CenterPoint Energy, Inc.",Utilities - Regulated Electric,17.96B
NTRS,Northern Trust Corp.,Asset Management,17.79B
J,Jacobs Solutions Inc.,Engineering & Construction,17.77B
DG,Dollar General Corp.,Discount Stores,17.76B
FOX,Fox Corp.,Entertainment,17.74B
VRSN,"VeriSign, Inc.",Software - Infrastructure,17.71B
HRL,Hormel Foods Corp.,Packaged Foods,17.70B
AVY,Avery Dennison Corp.,Packaging & Containers,17.65B
ULTA,"Ulta Beauty, Inc.",Specialty Retail,17.57B
LUV,Southwest Airlines Co.,Airlines,17.44B
L,Loews Corp.,Insurance - Property & Casualty,17.43B
JBHT,"J.B. Hunt Transport Services, Inc.",Integrated Freight & Logistics,17.39B
APTV,Aptiv PLC,Auto Parts,17.34B
EXPD,"Expeditors International of Washington, Inc.",Integrated Freight & Logistics,17.22B
ZBRA,Zebra Technologies Corp.,Communication Equipment,17.14B
DGX,Quest Diagnostics Inc.,Diagnostics & Research,17.07B
EXPE,"Expedia Group, Inc.",Travel Services,17.03B
MAS,Masco Corp.,Building Products & Equipment,17.00B
WBD,"Warner Bros. Discovery, Inc.",Entertainment,16.99B
ALGN,"Align Technology, Inc.",Medical Instruments & Supplies,16.79B
STLD,"Steel Dynamics, Inc.",Steel,16.77B
FDS,FactSet Research Systems Inc.,Financial Data & Stock Exchanges,16.68B
CTRA,Coterra Energy Inc.,Oil & Gas Exploration & Production,16.58B
EG,"Everest Group, Ltd.",Insurance - Reinsurance,16.49B
IP,International Paper Co.,Packaging & Containers,16.39B
TXT,Textron Inc.,Aerospace & Defense,16.23B
NRG,"NRG Energy, Inc.",Utilities - Independent Power Producers,16.05B
AMCR,Amcor plc,Packaging & Containers,15.94B
GEN,Gen Digital Inc.,Software - Infrastructure,15.84B
UAL,"United Airlines Holdings, Inc.",Airlines,15.82B
PODD,Insulet Corp.,Medical Devices,15.80B
SWKS,"Skyworks Solutions, Inc.",Semiconductors,15.72B
CAG,"Conagra Brands, Inc.",Packaged Foods,15.72B
KIM,Kimco Realty Corp.,REIT - Retail,15.67B
DOC,"Healthpeak Properties, Inc.",REIT - Healthcare Facilities,15.49B
NWS,News Corp.,Entertainment,15.35B
CPB,Campbell Soup Co.,Packaged Foods,15.32B
LNT,Alliant Energy Corp.,Utilities - Regulated Electric,15.16B
UHS,"Universal Health Services, Inc.",Medical Care Facilities,15.02B
NWSA,News Corp.,Entertainment,14.98B
NI,NiSource Inc.,Utilities - Regulated Gas,14.95B
UDR,"UDR, Inc.",REIT - Residential,14.93B
IEX,IDEX Corp.,Specialty Industrial Machinery,14.87B
RVTY,"Revvity, Inc.",Diagnostics & Research,14.75B
SWK,"Stanley Black & Decker, Inc.",Tools & Accessories,14.75B
KEY,KeyCorp,Banks - Regional,14.73B
MRO,Marathon Oil Corp.,Oil & Gas Exploration & Production,14.60B
DPZ,"Domino's Pizza, Inc.",Restaurants,14.57B
SNA,Snap-on Inc.,Tools & Accessories,14.45B
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,14.36B
PNR,Pentair plc,Specialty Industrial Machinery,14.36B
NDSN,Nordson Corp.,Specialty Industrial Machinery,14.12B
DLTR,"Dollar Tree, Inc.",Discount Stores,13.96B
ENPH,"Enphase Energy, Inc.",Solar,13.95B
CF,"CF Industries Holdings, Inc.",Agricultural Inputs,13.86B
EVRG,"Evergy, Inc.",Utilities - Regulated Electric,13.80B
BG,Bunge Global SA,Farm Products,13.60B
REG,Regency Centers Corp.,REIT - Retail,13.50B
TRMB,Trimble Inc.,Scientific & Technical Instruments,13.45B
POOL,Pool Corp.,Industrial Distribution,13.24B
CPT,Camden Property Trust,REIT - Residential,13.06B
VTRS,Viatris Inc.,Drug Manufacturers - Specialty & Generic,13.06B
CE,Celanese Corp.,Chemicals,12.98B
DVA,DaVita Inc.,Medical Care Facilities,12.86B
JKHY,"Jack Henry & Associates, Inc.",Information Technology Services,12.75B
JNPR,"Juniper Networks, Inc.",Communication Equipment,12.67B
SJM,The J. M. Smucker Co.,Packaged Foods,12.66B
INCY,Incyte Corp.,Biotechnology,12.09B
KMX,"CarMax, Inc.",Auto & Truck Dealerships,11.95B
SOLV,Solventum Corp.,Health Information Services,11.85B
CHRW,"C.H. Robinson Worldwide, Inc.",Integrated Freight & Logistics,11.84B
ALLE,Allegion plc,Security & Protection Services,11.77B
